UnixTimeStamp,TimeStamp,X,Y,Z
1215697049105,2008-07-10 13:37:29,,,,
1215697050106,2008-07-10 13:37:30,,,,
1215697051278,2008-07-10 13:37:31,,,,
1215697052293,2008-07-10 13:37:32,,,,
1215697053309,2008-07-10 13:37:33,,,,
1215697054309,2008-07-10 13:37:34,,,,
1215697055309,2008-07-10 13:37:35,,,,
1215697056309,2008-07-10 13:37:36,,,,
1215697057340,2008-07-10 13:37:37,,,,
1215697058340,2008-07-10 13:37:38,,,,
1215697059356,2008-07-10 13:37:39,,,,
1215697060356,2008-07-10 13:37:40,,,,
1215697061377,2008-07-10 13:37:41,,,,
1215697062377,2008-07-10 13:37:42,,,,
1215697063377,2008-07-10 13:37:43,,,,
1215697064387,2008-07-10 13:37:44,,,,
1215697065387,2008-07-10 13:37:45,,,,
1215697066387,2008-07-10 13:37:46,,,,
1215697067387,2008-07-10 13:37:47,,,,
1215697068387,2008-07-10 13:37:48,,,,
1215697069393,2008-07-10 13:37:49,,,,
1215697070393,2008-07-10 13:37:50,,,,
1215697071393,2008-07-10 13:37:51,,,,
1215697072403,2008-07-10 13:37:52,,,,
1215697073403,2008-07-10 13:37:53,,,,
1215697074418,2008-07-10 13:37:54,,,,
1215697075419,2008-07-10 13:37:55,,,,
1215697076419,2008-07-10 13:37:56,,,,
1215697077434,2008-07-10 13:37:57,,,,
1215697078434,2008-07-10 13:37:58,,,,
1215697079434,2008-07-10 13:37:59,,,,
1215697080434,2008-07-10 13:38:00,,,,
1215697081548,2008-07-10 13:38:01,,,,
1215697082564,2008-07-10 13:38:02,,,,
1215697083574,2008-07-10 13:38:03,,,,
1215697084594,2008-07-10 13:38:04,,,,
1215697085610,2008-07-10 13:38:05,,,,
1215697086622,2008-07-10 13:38:06,,,,
1215697087637,2008-07-10 13:38:07,,,,
1215697088653,2008-07-10 13:38:08,,,,
1215697089654,2008-07-10 13:38:09,,,,
1215697090669,2008-07-10 13:38:10,,,,
1215697091669,2008-07-10 13:38:11,,,,
1215697092685,2008-07-10 13:38:12,,,,
1215697093699,2008-07-10 13:38:13,,,,
1215697094715,2008-07-10 13:38:14,,,,
1215697095717,2008-07-10 13:38:15,,,,
1215697096733,2008-07-10 13:38:16,,,,
1215697097747,2008-07-10 13:38:17,,,,
1215697098763,2008-07-10 13:38:18,,,,
1215697099778,2008-07-10 13:38:19,,,,
1215697100794,2008-07-10 13:38:20,,,,
1215697101810,2008-07-10 13:38:21,,,,
1215697102824,2008-07-10 13:38:22,,,,
1215697103825,2008-07-10 13:38:23,,,,
1215697104825,2008-07-10 13:38:24,,,,
1215697105856,2008-07-10 13:38:25,,,,
1215697106857,2008-07-10 13:38:26,,,,
1215697107871,2008-07-10 13:38:27,,,,
1215697108887,2008-07-10 13:38:28,,,,
1215697109888,2008-07-10 13:38:29,,,,
1215697110888,2008-07-10 13:38:30,,,,
1215697111903,2008-07-10 13:38:31,,,,
1215697112904,2008-07-10 13:38:32,,,,
1215697113922,2008-07-10 13:38:33,,,,
1215697114922,2008-07-10 13:38:34,,,,
1215697115950,2008-07-10 13:38:35,,,,
1215697116950,2008-07-10 13:38:36,,,,
1215697117950,2008-07-10 13:38:37,,,,
1215697118966,2008-07-10 13:38:38,,,,
1215697119982,2008-07-10 13:38:39,,,,
1215697120997,2008-07-10 13:38:40,,,,
1215697122012,2008-07-10 13:38:42,,,,
1215697123028,2008-07-10 13:38:43,,,,
1215697124029,2008-07-10 13:38:44,,,,
1215697125043,2008-07-10 13:38:45,,,,
1215697126059,2008-07-10 13:38:46,,,,
1215697127075,2008-07-10 13:38:47,,,,
1215697128075,2008-07-10 13:38:48,,,,
1215697129091,2008-07-10 13:38:49,,,,
1215697130107,2008-07-10 13:38:50,,,,
1215697131107,2008-07-10 13:38:51,,,,
1215697132125,2008-07-10 13:38:52,,,,
1215697133125,2008-07-10 13:38:53,,,,
1215697134138,2008-07-10 13:38:54,,,,
1215697135154,2008-07-10 13:38:55,,,,
1215697136169,2008-07-10 13:38:56,,,,
1215697137169,2008-07-10 13:38:57,,,,
1215697138169,2008-07-10 13:38:58,,,,
1215697139169,2008-07-10 13:38:59,,,,
1215697140169,2008-07-10 13:39:00,,,,
1215697141184,2008-07-10 13:39:01,,,,
1215697142184,2008-07-10 13:39:02,,,,
1215697143200,2008-07-10 13:39:03,,,,
1215697144215,2008-07-10 13:39:04,,,,
1215697145216,2008-07-10 13:39:05,,,,
1215697146232,2008-07-10 13:39:06,,,,
1215697147247,2008-07-10 13:39:07,,,,
1215697148263,2008-07-10 13:39:08,,,,
1215697149279,2008-07-10 13:39:09,,,,
1215697150279,2008-07-10 13:39:10,,,,
1215697151279,2008-07-10 13:39:11,,,,
1215697152279,2008-07-10 13:39:12,,,,
1215697153279,2008-07-10 13:39:13,,,,
1215697154294,2008-07-10 13:39:14,,,,
1215697155294,2008-07-10 13:39:15,,,,
1215697156294,2008-07-10 13:39:16,,,,
1215697157314,2008-07-10 13:39:17,,,,
1215697158314,2008-07-10 13:39:18,,,,
1215697159325,2008-07-10 13:39:19,,,,
1215697160325,2008-07-10 13:39:20,,,,
1215697161325,2008-07-10 13:39:21,,,,
1215697162345,2008-07-10 13:39:22,,,,
1215697163357,2008-07-10 13:39:23,,,,
1215697164357,2008-07-10 13:39:24,,,,
1215697165357,2008-07-10 13:39:25,,,,
1215697166404,2008-07-10 13:39:26,,,,
1215697167404,2008-07-10 13:39:27,,,,
1215697168419,2008-07-10 13:39:28,,,,
1215697169435,2008-07-10 13:39:29,,,,
1215697170435,2008-07-10 13:39:30,,,,
1215697171450,2008-07-10 13:39:31,,,,
1215697172475,2008-07-10 13:39:32,,,,
1215697173497,2008-07-10 13:39:33,,,,
1215697174497,2008-07-10 13:39:34,,,,
1215697175497,2008-07-10 13:39:35,,,,
1215697176513,2008-07-10 13:39:36,,,,
1215697177532,2008-07-10 13:39:37,,,,
1215697178544,2008-07-10 13:39:38,,,,
1215697179545,2008-07-10 13:39:39,,,,
1215697180545,2008-07-10 13:39:40,,,,
1215697181560,2008-07-10 13:39:41,,,,
1215697182560,2008-07-10 13:39:42,,,,
1215697183560,2008-07-10 13:39:43,,,,
1215697184560,2008-07-10 13:39:44,,,,
1215697185591,2008-07-10 13:39:45,,,,
1215697186591,2008-07-10 13:39:46,,,,
1215697187592,2008-07-10 13:39:47,,,,
1215697188607,2008-07-10 13:39:48,,,,
1215697189622,2008-07-10 13:39:49,,,,
1215697190639,2008-07-10 13:39:50,,,,
1215697191654,2008-07-10 13:39:51,,,,
1215697192669,2008-07-10 13:39:52,,,,
1215697193685,2008-07-10 13:39:53,,,,
1215697194716,2008-07-10 13:39:54,,,,
1215697195733,2008-07-10 13:39:55,,,,
1215697196733,2008-07-10 13:39:56,,,,
1215697197747,2008-07-10 13:39:57,,,,
1215697198747,2008-07-10 13:39:58,,,,
1215697199763,2008-07-10 13:39:59,,,,
1215697200764,2008-07-10 13:40:00,,,,
1215697201779,2008-07-10 13:40:01,,,,
1215697202780,2008-07-10 13:40:02,,,,
1215697203794,2008-07-10 13:40:03,,,,
1215697204811,2008-07-10 13:40:04,,,,
1215697205811,2008-07-10 13:40:05,,,,
1215697206825,2008-07-10 13:40:06,,,,
1215697207826,2008-07-10 13:40:07,,,,
1215697208826,2008-07-10 13:40:08,,,,
1215697209826,2008-07-10 13:40:09,,,,
1215697210842,2008-07-10 13:40:10,,,,
1215697211858,2008-07-10 13:40:11,,,,
1215697212858,2008-07-10 13:40:12,,,,
1215697213858,2008-07-10 13:40:13,,,,
1215697214888,2008-07-10 13:40:14,,,,
1215697215904,2008-07-10 13:40:15,,,,
1215697216904,2008-07-10 13:40:16,,,,
1215697217905,2008-07-10 13:40:17,,,,
1215697218920,2008-07-10 13:40:18,,,,
1215697219936,2008-07-10 13:40:19,,,,
1215697220936,2008-07-10 13:40:20,,,,
1215697221950,2008-07-10 13:40:21,,,,
1215697222967,2008-07-10 13:40:22,,,,
1215697223986,2008-07-10 13:40:23,,,,
1215697224986,2008-07-10 13:40:24,,,,
1215697225998,2008-07-10 13:40:25,,,,
1215697227014,2008-07-10 13:40:27,,,,
1215697228014,2008-07-10 13:40:28,,,,
1215697229014,2008-07-10 13:40:29,,,,
1215697230029,2008-07-10 13:40:30,,,,
1215697231029,2008-07-10 13:40:31,,,,
1215697232045,2008-07-10 13:40:32,,,,
1215697233060,2008-07-10 13:40:33,,,,
1215697234076,2008-07-10 13:40:34,,,,
1215697235092,2008-07-10 13:40:35,,,,
1215697236108,2008-07-10 13:40:36,,,,
1215697237108,2008-07-10 13:40:37,,,,
1215697238123,2008-07-10 13:40:38,,,,
1215697239139,2008-07-10 13:40:39,,,,
1215697240155,2008-07-10 13:40:40,,,,
1215697241155,2008-07-10 13:40:41,,,,
1215697242155,2008-07-10 13:40:42,,,,
1215697243155,2008-07-10 13:40:43,,,,
1215697244170,2008-07-10 13:40:44,,,,
1215697245170,2008-07-10 13:40:45,,,,
1215697246186,2008-07-10 13:40:46,,,,
1215697247311,2008-07-10 13:40:47,,,,
1215697248311,2008-07-10 13:40:48,,,,
1215697249311,2008-07-10 13:40:49,,,,
1215697250311,2008-07-10 13:40:50,,,,
1215697251311,2008-07-10 13:40:51,,,,
1215697252311,2008-07-10 13:40:52,,,,
1215697253311,2008-07-10 13:40:53,,,,
1215697254326,2008-07-10 13:40:54,,,,
1215697255342,2008-07-10 13:40:55,,,,
1215697256405,2008-07-10 13:40:56,,,,
1215697257405,2008-07-10 13:40:57,,,,
1215697258406,2008-07-10 13:40:58,,,,
1215697259436,2008-07-10 13:40:59,,,,
1215697260436,2008-07-10 13:41:00,,,,
1215697261437,2008-07-10 13:41:01,,,,
1215697262467,2008-07-10 13:41:02,,,,
1215697263468,2008-07-10 13:41:03,,,,
1215697264468,2008-07-10 13:41:04,,,,
1215697265483,2008-07-10 13:41:05,,,,
1215697266483,2008-07-10 13:41:06,,,,
1215697267483,2008-07-10 13:41:07,,,,
1215697268483,2008-07-10 13:41:08,,,,
1215697269483,2008-07-10 13:41:09,,,,
1215697270483,2008-07-10 13:41:10,,,,
1215697271498,2008-07-10 13:41:11,,,,
1215697272514,2008-07-10 13:41:12,,,,
1215697273515,2008-07-10 13:41:13,,,,
1215697274530,2008-07-10 13:41:14,,,,
1215697275533,2008-07-10 13:41:15,,,,
1215697276562,2008-07-10 13:41:16,,,,
1215697277593,2008-07-10 13:41:17,,,,
1215697278593,2008-07-10 13:41:18,,,,
1215697279608,2008-07-10 13:41:19,,,,
1215697280609,2008-07-10 13:41:20,,,,
1215697281623,2008-07-10 13:41:21,,,,
1215697282623,2008-07-10 13:41:22,,,,
1215697283623,2008-07-10 13:41:23,,,,
1215697284623,2008-07-10 13:41:24,,,,
1215697285624,2008-07-10 13:41:25,,,,
1215697286639,2008-07-10 13:41:26,,,,
1215697287639,2008-07-10 13:41:27,,,,
1215697288640,2008-07-10 13:41:28,,,,
1215697289655,2008-07-10 13:41:29,,,,
1215697290655,2008-07-10 13:41:30,,,,
1215697291656,2008-07-10 13:41:31,,,,
1215697292656,2008-07-10 13:41:32,,,,
1215697293671,2008-07-10 13:41:33,,,,
1215697294691,2008-07-10 13:41:34,,,,
1215697295706,2008-07-10 13:41:35,,,,
1215697296748,2008-07-10 13:41:36,,,,
1215697297764,2008-07-10 13:41:37,,,,
1215697298769,2008-07-10 13:41:38,,,,
1215697299781,2008-07-10 13:41:39,,,,
1215697300781,2008-07-10 13:41:40,,,,
1215697301811,2008-07-10 13:41:41,,,,
1215697302812,2008-07-10 13:41:42,,,,
1215697303812,2008-07-10 13:41:43,,,,
1215697304812,2008-07-10 13:41:44,,,,
1215697305827,2008-07-10 13:41:45,,,,
1215697306827,2008-07-10 13:41:46,,,,
1215697307827,2008-07-10 13:41:47,,,,
1215697308827,2008-07-10 13:41:48,,,,
1215697309827,2008-07-10 13:41:49,,,,
1215697310827,2008-07-10 13:41:50,,,,
1215697311827,2008-07-10 13:41:51,,,,
1215697312842,2008-07-10 13:41:52,,,,
1215697313842,2008-07-10 13:41:53,,,,
1215697314843,2008-07-10 13:41:54,,,,
1215697315843,2008-07-10 13:41:55,,,,
1215697316859,2008-07-10 13:41:56,,,,
1215697317859,2008-07-10 13:41:57,,,,
1215697318859,2008-07-10 13:41:58,,,,
1215697319862,2008-07-10 13:41:59,,,,
1215697320862,2008-07-10 13:42:00,,,,
1215697321890,2008-07-10 13:42:01,,,,
1215697322905,2008-07-10 13:42:02,,,,
1215697323906,2008-07-10 13:42:03,,,,
1215697324936,2008-07-10 13:42:04,,,,
1215697325937,2008-07-10 13:42:05,,,,
1215697326941,2008-07-10 13:42:06,,,,
1215697327941,2008-07-10 13:42:07,,,,
1215697328952,2008-07-10 13:42:08,,,,
1215697329968,2008-07-10 13:42:09,,,,
1215697330968,2008-07-10 13:42:10,,,,
1215697331968,2008-07-10 13:42:11,,,,
1215697332968,2008-07-10 13:42:12,,,,
1215697333968,2008-07-10 13:42:13,,,,
1215697334968,2008-07-10 13:42:14,,,,
1215697335968,2008-07-10 13:42:15,,,,
1215697336968,2008-07-10 13:42:16,,,,
1215697337968,2008-07-10 13:42:17,,,,
1215697338968,2008-07-10 13:42:18,,,,
1215697339984,2008-07-10 13:42:19,,,,
1215697340984,2008-07-10 13:42:20,,,,
1215697341984,2008-07-10 13:42:21,,,,
1215697342999,2008-07-10 13:42:22,,,,
1215697344005,2008-07-10 13:42:24,,,,
1215697345031,2008-07-10 13:42:25,,,,
1215697346031,2008-07-10 13:42:26,,,,
1215697347031,2008-07-10 13:42:27,,,,
1215697348031,2008-07-10 13:42:28,,,,
1215697349046,2008-07-10 13:42:29,,,,
1215697350046,2008-07-10 13:42:30,,,,
1215697351046,2008-07-10 13:42:31,,,,
1215697352047,2008-07-10 13:42:32,,,,
1215697353062,2008-07-10 13:42:33,,,,
1215697354062,2008-07-10 13:42:34,,,,
1215697355063,2008-07-10 13:42:35,,,,
1215697356063,2008-07-10 13:42:36,,,,
1215697357081,2008-07-10 13:42:37,,,,
1215697358081,2008-07-10 13:42:38,,,,
1215697359085,2008-07-10 13:42:39,,,,
1215697360094,2008-07-10 13:42:40,,,,
1215697361094,2008-07-10 13:42:41,,,,
1215697362097,2008-07-10 13:42:42,,,,
1215697363097,2008-07-10 13:42:43,,,,
1215697364109,2008-07-10 13:42:44,,,,
1215697365109,2008-07-10 13:42:45,,,,
1215697366109,2008-07-10 13:42:46,,,,
1215697367110,2008-07-10 13:42:47,,,,
1215697368140,2008-07-10 13:42:48,,,,
1215697369141,2008-07-10 13:42:49,271,272,259
1215697370156,2008-07-10 13:42:50,271,276,256
1215697371157,2008-07-10 13:42:51,270,274,256
1215697372157,2008-07-10 13:42:52,270,274,256
1215697373171,2008-07-10 13:42:53,270,274,256
1215697374176,2008-07-10 13:42:54,270,274,256
1215697375187,2008-07-10 13:42:55,270,274,256
1215697376187,2008-07-10 13:42:56,270,274,256
1215697377204,2008-07-10 13:42:57,270,274,256
1215697378218,2008-07-10 13:42:58,270,274,256
1215697379219,2008-07-10 13:42:59,270,274,255
1215697380224,2008-07-10 13:43:00,272,276,255
1215697381234,2008-07-10 13:43:01,269,292,263
1215697382250,2008-07-10 13:43:02,234,289,345
1215697383265,2008-07-10 13:43:03,227,283,281
1215697384265,2008-07-10 13:43:04,253,269,261
1215697385282,2008-07-10 13:43:05,248,230,281
1215697386296,2008-07-10 13:43:06,260,216,302
1215697387296,2008-07-10 13:43:07,252,220,311
1215697388296,2008-07-10 13:43:08,244,222,311
1215697389297,2008-07-10 13:43:09,260,234,357
1215697390297,2008-07-10 13:43:10,250,255,280
1215697391311,2008-07-10 13:43:11,283,278,260
1215697392315,2008-07-10 13:43:12,291,298,273
1215697393328,2008-07-10 13:43:13,321,273,305
1215697394328,2008-07-10 13:43:14,277,255,258
1215697395343,2008-07-10 13:43:15,286,267,258
1215697396343,2008-07-10 13:43:16,270,274,257
1215697397344,2008-07-10 13:43:17,273,273,257
1215697398344,2008-07-10 13:43:18,273,274,256
1215697399359,2008-07-10 13:43:19,291,279,260
1215697400360,2008-07-10 13:43:20,290,259,263
1215697401360,2008-07-10 13:43:21,288,278,262
1215697402374,2008-07-10 13:43:22,277,268,259
1215697403374,2008-07-10 13:43:23,281,257,260
1215697404374,2008-07-10 13:43:24,283,259,262
1215697405375,2008-07-10 13:43:25,282,262,259
1215697406375,2008-07-10 13:43:26,285,261,259
1215697407375,2008-07-10 13:43:27,287,234,283
1215697408390,2008-07-10 13:43:28,297,226,316
1215697409391,2008-07-10 13:43:29,303,231,320
1215697410391,2008-07-10 13:43:30,310,236,329
1215697411406,2008-07-10 13:43:31,291,220,316
1215697412407,2008-07-10 13:43:32,308,235,327
1215697413407,2008-07-10 13:43:33,311,239,331
1215697414407,2008-07-10 13:43:34,306,230,331
1215697415407,2008-07-10 13:43:35,307,236,332
1215697416407,2008-07-10 13:43:36,305,227,324
1215697417407,2008-07-10 13:43:37,281,220,306
1215697418407,2008-07-10 13:43:38,285,226,289
1215697419421,2008-07-10 13:43:39,294,223,326
1215697420422,2008-07-10 13:43:40,295,223,325
1215697421422,2008-07-10 13:43:41,304,227,308
1215697422422,2008-07-10 13:43:42,314,242,318
1215697423422,2008-07-10 13:43:43,320,248,318
1215697424435,2008-07-10 13:43:44,319,253,329
1215697425438,2008-07-10 13:43:45,320,251,326
1215697426438,2008-07-10 13:43:46,315,246,337
1215697427438,2008-07-10 13:43:47,321,251,329
1215697428438,2008-07-10 13:43:48,307,233,312
1215697429438,2008-07-10 13:43:49,310,237,307
1215697430439,2008-07-10 13:43:50,309,233,295
1215697431453,2008-07-10 13:43:51,313,239,304
1215697432453,2008-07-10 13:43:52,309,241,288
1215697433453,2008-07-10 13:43:53,310,257,280
1215697434453,2008-07-10 13:43:54,318,236,293
1215697435453,2008-07-10 13:43:55,273,249,269
1215697436453,2008-07-10 13:43:56,267,213,306
1215697437453,2008-07-10 13:43:57,283,225,290
1215697438453,2008-07-10 13:43:58,298,224,302
1215697439453,2008-07-10 13:43:59,293,232,282
1215697440453,2008-07-10 13:44:00,299,249,273
1215697441453,2008-07-10 13:44:01,302,228,295
1215697442453,2008-07-10 13:44:02,301,225,303
1215697443462,2008-07-10 13:44:03,309,231,312
1215697444469,2008-07-10 13:44:04,321,252,304
1215697445469,2008-07-10 13:44:05,325,257,315
1215697446484,2008-07-10 13:44:06,317,273,344
1215697447486,2008-07-10 13:44:07,319,272,341
1215697448486,2008-07-10 13:44:08,319,281,338
1215697449493,2008-07-10 13:44:09,318,281,341
1215697450500,2008-07-10 13:44:10,310,259,341
1215697451500,2008-07-10 13:44:11,304,229,319
1215697452509,2008-07-10 13:44:12,310,231,318
1215697453516,2008-07-10 13:44:13,314,242,311
1215697454516,2008-07-10 13:44:14,318,250,293
1215697455516,2008-07-10 13:44:15,326,259,316
1215697456516,2008-07-10 13:44:16,304,237,328
1215697457516,2008-07-10 13:44:17,300,224,301
1215697458516,2008-07-10 13:44:18,306,240,291
1215697459516,2008-07-10 13:44:19,302,237,284
1215697460516,2008-07-10 13:44:20,294,229,288
1215697461516,2008-07-10 13:44:21,271,222,333
1215697462516,2008-07-10 13:44:22,272,219,297
1215697463517,2008-07-10 13:44:23,272,225,280
1215697464532,2008-07-10 13:44:24,272,228,278
1215697465533,2008-07-10 13:44:25,289,222,285
1215697466547,2008-07-10 13:44:26,264,223,287
1215697467547,2008-07-10 13:44:27,286,223,286
1215697468548,2008-07-10 13:44:28,294,230,284
1215697469548,2008-07-10 13:44:29,318,244,301
1215697470563,2008-07-10 13:44:30,314,241,288
1215697471563,2008-07-10 13:44:31,295,233,330
1215697472564,2008-07-10 13:44:32,299,226,331
1215697473573,2008-07-10 13:44:33,299,227,326
1215697474578,2008-07-10 13:44:34,292,225,335
1215697475579,2008-07-10 13:44:35,293,229,341
1215697476594,2008-07-10 13:44:36,293,224,314
1215697477594,2008-07-10 13:44:37,277,224,280
1215697478594,2008-07-10 13:44:38,304,250,283
1215697479594,2008-07-10 13:44:39,313,259,278
1215697480599,2008-07-10 13:44:40,312,258,278
1215697481611,2008-07-10 13:44:41,316,258,284
1215697482611,2008-07-10 13:44:42,319,252,296
1215697483625,2008-07-10 13:44:43,323,253,305
1215697484625,2008-07-10 13:44:44,322,259,298
1215697485626,2008-07-10 13:44:45,323,255,302
1215697486641,2008-07-10 13:44:46,322,255,302
1215697487641,2008-07-10 13:44:47,321,250,296
1215697488642,2008-07-10 13:44:48,325,252,294
1215697489657,2008-07-10 13:44:49,323,264,289
1215697490657,2008-07-10 13:44:50,322,262,295
1215697491657,2008-07-10 13:44:51,323,257,299
1215697492657,2008-07-10 13:44:52,311,247,285
1215697493658,2008-07-10 13:44:53,325,261,292
1215697494658,2008-07-10 13:44:54,309,254,279
1215697495672,2008-07-10 13:44:55,316,242,307
1215697496682,2008-07-10 13:44:56,318,268,288
1215697497689,2008-07-10 13:44:57,303,236,284
1215697498703,2008-07-10 13:44:58,280,236,269
1215697499704,2008-07-10 13:44:59,297,230,308
1215697500704,2008-07-10 13:45:00,313,238,331
1215697501719,2008-07-10 13:45:01,305,233,334
1215697502719,2008-07-10 13:45:02,309,235,328
1215697503719,2008-07-10 13:45:03,309,242,337
1215697504720,2008-07-10 13:45:04,310,262,350
1215697505720,2008-07-10 13:45:05,306,237,340
1215697506720,2008-07-10 13:45:06,293,222,314
1215697507720,2008-07-10 13:45:07,287,218,303
1215697508735,2008-07-10 13:45:08,294,221,305
1215697509736,2008-07-10 13:45:09,281,218,313
1215697510750,2008-07-10 13:45:10,268,217,323
1215697511751,2008-07-10 13:45:11,275,224,285
1215697512751,2008-07-10 13:45:12,282,231,273
1215697513751,2008-07-10 13:45:13,297,233,287
1215697514751,2008-07-10 13:45:14,304,240,278
1215697515756,2008-07-10 13:45:15,304,235,301
1215697516768,2008-07-10 13:45:16,303,225,322
1215697517783,2008-07-10 13:45:17,254,227,292
1215697518783,2008-07-10 13:45:18,248,220,299
1215697519783,2008-07-10 13:45:19,258,223,324
1215697520783,2008-07-10 13:45:20,238,250,272
1215697521783,2008-07-10 13:45:21,232,235,294
1215697522783,2008-07-10 13:45:22,236,231,290
1215697523783,2008-07-10 13:45:23,237,227,300
1215697524783,2008-07-10 13:45:24,238,228,292
1215697525783,2008-07-10 13:45:25,237,233,286
1215697526783,2008-07-10 13:45:26,236,243,276
1215697527783,2008-07-10 13:45:27,256,221,295
1215697528783,2008-07-10 13:45:28,272,222,281
1215697529783,2008-07-10 13:45:29,251,221,292
1215697530783,2008-07-10 13:45:30,243,225,296
1215697531783,2008-07-10 13:45:31,237,227,300
1215697532783,2008-07-10 13:45:32,241,222,318
1215697533783,2008-07-10 13:45:33,238,225,311
1215697534784,2008-07-10 13:45:34,240,224,301
1215697535798,2008-07-10 13:45:35,240,226,309
1215697536798,2008-07-10 13:45:36,247,219,323
1215697537798,2008-07-10 13:45:37,247,220,313
1215697538798,2008-07-10 13:45:38,250,218,310
1215697539798,2008-07-10 13:45:39,251,218,309
1215697540814,2008-07-10 13:45:40,251,218,310
1215697541814,2008-07-10 13:45:41,251,217,311
1215697542814,2008-07-10 13:45:42,252,217,310
1215697543814,2008-07-10 13:45:43,252,217,311
1215697544829,2008-07-10 13:45:44,252,217,311
1215697545829,2008-07-10 13:45:45,251,218,309
1215697546829,2008-07-10 13:45:46,251,218,310
1215697547829,2008-07-10 13:45:47,251,218,310
1215697548829,2008-07-10 13:45:48,251,218,309
1215697549846,2008-07-10 13:45:49,252,217,310
1215697550861,2008-07-10 13:45:50,251,218,309
1215697551877,2008-07-10 13:45:51,252,217,309
1215697552892,2008-07-10 13:45:52,252,218,310
1215697553892,2008-07-10 13:45:53,251,217,309
1215697554908,2008-07-10 13:45:54,252,217,309
1215697555924,2008-07-10 13:45:55,252,218,317
1215697556940,2008-07-10 13:45:56,252,218,319
1215697557954,2008-07-10 13:45:57,252,217,308
1215697558970,2008-07-10 13:45:58,253,217,307
1215697559971,2008-07-10 13:45:59,252,217,306
1215697560973,2008-07-10 13:46:00,253,217,306
1215697561986,2008-07-10 13:46:01,254,221,307
1215697562987,2008-07-10 13:46:02,221,253,297
1215697564001,2008-07-10 13:46:04,217,261,306
1215697565009,2008-07-10 13:46:05,219,254,292
1215697566017,2008-07-10 13:46:06,221,266,285
1215697567017,2008-07-10 13:46:07,222,268,281
1215697568018,2008-07-10 13:46:08,224,269,279
1215697569033,2008-07-10 13:46:09,223,268,279
1215697570034,2008-07-10 13:46:10,223,267,280
1215697571048,2008-07-10 13:46:11,223,268,279
1215697572050,2008-07-10 13:46:12,223,269,280
1215697573064,2008-07-10 13:46:13,223,270,280
1215697574065,2008-07-10 13:46:14,222,270,281
1215697575079,2008-07-10 13:46:15,222,269,281
1215697576080,2008-07-10 13:46:16,222,268,281
